edgename	sign	strength	direction	score	strength_signed
synapse (pp) Neuron	1	0.846646006198141	0.58779575208995	0.497654925967189	0.846646006198141
basement membrane (pp) Endothelial	1	0.999500149955013	0.406379823552419	0.406176694579335	0.999500149955013
NL (pp) Endothelial	1	0.806058182545237	0.43834308796916	0.353330032819688	0.806058182545237
synapse (pp) Arp2/3 complex-mediated actin nucleation	1	0.929321203638908	0.40652679947616	0.377793974600658	0.929321203638908
Neuron (pp) synapse	1	0.846646006198141	0.41220424791005	0.348991080230952	0.846646006198141
Arp2/3 complex-mediated actin nucleation (pp) synapse	1	0.929321203638908	0.59347320052384	0.55152722903825	0.929321203638908
hydrogen peroxide metabolic process (pp) synapse	-1	0.586124162751175	0.89347915452783	0.523689721383252	-0.586124162751175
poly(A) RNA binding (pp) synapse	-1	0.762371288613416	0.132685093283699	0.101155305546485	-0.762371288613416
PCLO (pp) synapse	1	0.94481655503349	0.367281317256023	0.347013468897998	0.94481655503349
synapse (pp) hydrogen peroxide metabolic process	-1	0.586124162751175	0.10652084547217	0.0624344413679228	-0.586124162751175
Endothelial (pp) basement membrane	1	0.999500149955013	0.593620176447581	0.593323455375679	0.999500149955013
synapse (pp) poly(A) RNA binding	-1	0.762371288613416	0.867314906716301	0.661215983066931	-0.762371288613416
LB (pp) poly(A) RNA binding	-1	0.857642707187844	0.354631428496744	0.30414705838984	-0.857642707187844
PCLO (pp) SNCA	1	0.997500749775067	0.737875952300035	0.736031815660277	0.997500749775067
synapse (pp) PCLO	1	0.94481655503349	0.632718682743976	0.597803086135492	0.94481655503349
SNCA (pp) PCLO	1	0.997500749775067	0.262124047699965	0.261468934114791	0.997500749775067
poly(A) RNA binding (pp) LB	-1	0.857642707187844	0.645368571503256	0.553495648798004	-0.857642707187844
Endothelial (pp) NL	1	0.806058182545237	0.56165691203084	0.452728149725549	0.806058182545237
