SampleName	PlatePos	PlateRow	PlateCol	HomogenizationBatch
1Cs	A1	A	1	1
1Ct1	B1	B	1	1
1Ct2	C1	C	1	1
2Ct2	D1	D	1	1
2Cs	E1	E	1	1
2Ct1	F1	F	1	1
4Ct2	G1	G	1	1
4Ct1	H1	H	1	1
4Cs	A2	A	2	1
5Ct1	B2	B	2	1
5Ct2	C2	C	2	1
5Cs	D2	D	2	1
6Cs	E2	E	2	1
6Ct2	F2	F	2	1
6Ct1	G2	G	2	1
7Ct2	H2	H	2	1
7Cs	A3	A	3	1
7Ct1	B3	B	3	1
9Cs	C3	C	3	1
9Ct1	D3	D	3	1
9Ct2	E3	E	3	1
10Ct2	F3	F	3	1
10Ct1	G3	G	3	1
10Cs	H3	H	3	1
11Ct1	A4	A	4	1
11Cs	B4	B	4	1
11Ct2	C4	C	4	1
12Cs	D4	D	4	2
12Ct2	E4	E	4	2
12Ct1	F4	F	4	2
13Ct1	G4	G	4	2
13Ct2	H4	H	4	2
13Cs	A5	A	5	2
14Cs	B5	B	5	2
14Ct1	C5	C	5	2
14Ct2	D5	D	5	2
15Ct2	E5	E	5	2
15Cs	F5	F	5	2
15Ct1	G5	G	5	2
16Ct2	H5	H	5	2
16Ct1	A6	A	6	2
16Cs	B6	B	6	2
17Ct1	C6	C	6	2
17Cs	D6	D	6	2
17Ct2	E6	E	6	2
18Ct2	F6	F	6	2
18Ct1	G6	G	6	2
18Cs	H6	H	6	2
19Cs	A7	A	7	2
19Ct2	B7	B	7	2
19Ct1	C7	C	7	2
