"ID"	Dataset	Experiment	Campaign	State	Instrument	Created	Comment	Rating	Dataset Type	Operator	Dataset Folder Path	Archive Folder Path	QC_Link	Acq Start	Acq. End	Acq Length	Scan Count	File Size MB	LC Column	Separation Type	Blocking Factor	Block	Run Order	Request	EMSL Proposal	Work Package	Requester	Archive State	Inst. Data Purged	Organism	#DateSortKey
342175	Lewy2_19Ct1_2Nov13_Samwise_13-07-28	Lewy2_19Ct1	Lewy Bodies	Complete	QExact01	11/8/2013 12:12 PM		Released	HMS-HCD-HMSn	D3E154	\\proto-6\QExact01\2013_4\Lewy2_19Ct1_2Nov13_Samwise_13-07-28	MyEMSL	http://proto-6/QExact01/2013_4/Lewy2_19Ct1_2Nov13_Samwise_13-07-28/QC/index.html	11/8/2013 09:03 AM	11/8/2013 10:42 AM	99	43591	1461.41	13-07-28	LC-Waters-Formic_100min		19		339608	47790	H71733	D3H534	complete	No	Homo_sapiens	11/8/2013 09:03 AM
342176	Lewy2_19Ct2_2Nov13_Samwise_13-07-28	Lewy2_19Ct2	Lewy Bodies	Complete	QExact01	11/8/2013 12:13 PM		Released	HMS-HCD-HMSn	D3E154	\\proto-6\QExact01\2013_4\Lewy2_19Ct2_2Nov13_Samwise_13-07-28	MyEMSL	http://proto-6/QExact01/2013_4/Lewy2_19Ct2_2Nov13_Samwise_13-07-28/QC/index.html	11/8/2013 06:13 AM	11/8/2013 07:52 AM	99	44145	1477.48	13-07-28	LC-Waters-Formic_100min		19		339607	47790	H71733	D3H534	complete	No	Homo_sapiens	11/8/2013 06:13 AM
342160	Lewy2_19Cs_2Nov13_Samwise_13-07-28	Lewy2_19Cs	Lewy Bodies	Complete	QExact01	11/8/2013 10:31 AM		Released	HMS-HCD-HMSn	D3E154	\\proto-6\QExact01\2013_4\Lewy2_19Cs_2Nov13_Samwise_13-07-28	MyEMSL	http://proto-6/QExact01/2013_4/Lewy2_19Cs_2Nov13_Samwise_13-07-28/QC/index.html	11/8/2013 03:22 AM	11/8/2013 05:01 AM	99	43917	1461.04	13-07-28	LC-Waters-Formic_100min		19		339606	47790	H71733	D3H534	complete	No	Homo_sapiens	11/8/2013 03:22 AM
342161	Lewy2_18Cs_2Nov13_Samwise_13-07-28	Lewy2_18Cs	Lewy Bodies	Complete	QExact01	11/8/2013 10:35 AM		Released	HMS-HCD-HMSn	D3E154	\\proto-6\QExact01\2013_4\Lewy2_18Cs_2Nov13_Samwise_13-07-28	MyEMSL	http://proto-6/QExact01/2013_4/Lewy2_18Cs_2Nov13_Samwise_13-07-28/QC/index.html	11/8/2013 12:32 AM	11/8/2013 02:10 AM	98	43959	1479.84	13-07-28	LC-Waters-Formic_100min		18		339605	47790	H71733	D3H534	complete	No	Homo_sapiens	11/8/2013 12:32 AM
342159	Lewy2_18Ct1_2Nov13_Samwise_13-07-28	Lewy2_18Ct1	Lewy Bodies	Complete	QExact01	11/8/2013 10:31 AM		Released	HMS-HCD-HMSn	D3E154	\\proto-6\QExact01\2013_4\Lewy2_18Ct1_2Nov13_Samwise_13-07-28	MyEMSL	http://proto-6/QExact01/2013_4/Lewy2_18Ct1_2Nov13_Samwise_13-07-28/QC/index.html	11/7/2013 09:41 PM	11/7/2013 11:20 PM	99	44809	1533.50	13-07-28	LC-Waters-Formic_100min		18		339604	47790	H71733	D3H534	complete	No	Homo_sapiens	11/7/2013 09:41 PM
342157	Lewy2_18Ct2_2Nov13_Samwise_13-07-28	Lewy2_18Ct2	Lewy Bodies	Complete	QExact01	11/8/2013 10:29 AM		Released	HMS-HCD-HMSn	D3E154	\\proto-6\QExact01\2013_4\Lewy2_18Ct2_2Nov13_Samwise_13-07-28	MyEMSL	http://proto-6/QExact01/2013_4/Lewy2_18Ct2_2Nov13_Samwise_13-07-28/QC/index.html	11/7/2013 06:50 PM	11/7/2013 08:29 PM	99	43585	1439.16	13-07-28	LC-Waters-Formic_100min		18		339603	47790	H71733	D3H534	complete	No	Homo_sapiens	11/7/2013 06:50 PM
342158	Lewy2_17Ct2_2Nov13_Samwise_13-07-28	Lewy2_17Ct2	Lewy Bodies	Complete	QExact01	11/8/2013 10:30 AM		Released	HMS-HCD-HMSn	D3E154	\\proto-6\QExact01\2013_4\Lewy2_17Ct2_2Nov13_Samwise_13-07-28	MyEMSL	http://proto-6/QExact01/2013_4/Lewy2_17Ct2_2Nov13_Samwise_13-07-28/QC/index.html	11/7/2013 04:00 PM	11/7/2013 05:39 PM	99	44208	1502.45	13-07-28	LC-Waters-Formic_100min		17		339602	47790	H71733	D3H534	complete	No	Homo_sapiens	11/7/2013 04:00 PM
342155	Lewy2_17Cs_2Nov13_Samwise_13-07-28	Lewy2_17Cs	Lewy Bodies	Complete	QExact01	11/8/2013 10:26 AM		Released	HMS-HCD-HMSn	D3E154	\\proto-6\QExact01\2013_4\Lewy2_17Cs_2Nov13_Samwise_13-07-28	MyEMSL	http://proto-6/QExact01/2013_4/Lewy2_17Cs_2Nov13_Samwise_13-07-28/QC/index.html	11/7/2013 01:09 PM	11/7/2013 02:48 PM	99	44249	1502.48	13-07-28	LC-Waters-Formic_100min		17		339601	47790	H71733	D3H534	complete	No	Homo_sapiens	11/7/2013 01:09 PM
342099	Lewy2_17Ct1_2Nov13_Samwise_13-07-28	Lewy2_17Ct1	Lewy Bodies	Complete	QExact01	11/7/2013 02:55 PM		Released	HMS-HCD-HMSn	D3E154	\\proto-6\QExact01\2013_4\Lewy2_17Ct1_2Nov13_Samwise_13-07-28	MyEMSL	http://proto-6/QExact01/2013_4/Lewy2_17Ct1_2Nov13_Samwise_13-07-28/QC/index.html	11/7/2013 10:19 AM	11/7/2013 11:58 AM	99	44244	1489.94	13-07-28	LC-Waters-Formic_100min		17		339600	47790	H71733	D3H534	complete	No	Homo_sapiens	11/7/2013 10:19 AM
342100	Lewy2_16Cs_2Nov13_Samwise_13-07-28	Lewy2_16Cs	Lewy Bodies	Complete	QExact01	11/7/2013 02:58 PM		Released	HMS-HCD-HMSn	D3E154	\\proto-6\QExact01\2013_4\Lewy2_16Cs_2Nov13_Samwise_13-07-28	MyEMSL	http://proto-6/QExact01/2013_4/Lewy2_16Cs_2Nov13_Samwise_13-07-28/QC/index.html	11/7/2013 07:28 AM	11/7/2013 09:07 AM	99	44865	1496.51	13-07-28	LC-Waters-Formic_100min		16		339599	47790	H71733	D3H534	complete	No	Homo_sapiens	11/7/2013 07:28 AM
