Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
Lewy2_1Cs_2Nov13_Samwise_13-07-28	1Cs	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		6126	38287	0	40429	36145	0	4284	22566	22219	0	347	55.82	61.47	NaN	8.1	17586	1184990	37645	3.18	268	0.71	175584	35433	31575	20.18	20.43	652	1.84	+	0.6769	0.95121	0.51077	0.74681	
Lewy2_1Ct1_2Nov13_Samwise_13-07-28	1Ct1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		5934	38697	0	40660	36734	0	3926	22897	22513	0	384	56.31	61.29	NaN	9.78	17759	1233634	38162	3.09	227	0.59	186805	36101	31964	19.33	19.53	566	1.57	+	0.69396	0.98529	0.51843	0.7643	
Lewy2_1Ct2_2Nov13_Samwise_13-07-28	1Ct2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		5904	37963	0	39893	36033	0	3860	22822	22406	0	416	57.21	62.18	NaN	10.78	17946	1220870	37488	3.07	214	0.57	184109	35408	31545	19.23	19.52	578	1.63	+	0.68202	0.97238	0.50358	0.74477	
Lewy2_2Cs_2Nov13_Samwise_13-07-28	2Cs	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		6180	37687	0	39888	35486	0	4402	22393	21994	0	399	56.14	61.98	NaN	9.06	17514	1208014	37067	3.07	247	0.67	176822	34825	31030	19.69	19.95	610	1.75	+	0.68871	0.97804	0.51207	0.75437	
Lewy2_2Ct1_2Nov13_Samwise_13-07-28	2Ct1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		6018	37878	0	40053	35703	0	4350	22875	22444	0	431	57.11	62.86	NaN	9.91	17793	1186831	37268	3.14	224	0.6	176135	35061	31235	19.91	19.97	590	1.68	+	0.68254	0.96438	0.50648	0.74014	
Lewy2_2Ct2_2Nov13_Samwise_13-07-28	2Ct2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		6114	37946	0	39927	35965	0	3962	22790	22384	0	406	57.08	62.24	NaN	10.25	17493	1208903	37368	3.09	270	0.72	179130	35269	31348	19.69	19.99	609	1.73	+	0.68005	0.96864	0.50778	0.75261	
Lewy2_4Cs_2Nov13_Samwise_13-07-28	4Cs	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		6092	37984	0	40088	35880	0	4208	22494	22147	0	347	56.11	61.73	NaN	8.25	17404	1223869	37423	3.06	215	0.57	181566	35287	31456	19.43	19.73	545	1.54	+	0.68298	0.96603	0.50689	0.74305	
Lewy2_4Ct1_2Nov13_Samwise_13-07-28	4Ct1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		6267	36702	0	38794	34610	0	4184	20914	20551	0	363	53.91	59.38	NaN	8.68	16036	1189749	36096	3.03	265	0.73	172915	33929	30230	19.62	20.09	618	1.82	+	0.69965	0.99322	0.51723	0.76548	
Lewy2_4Ct2_2Nov13_Samwise_13-07-28	4Ct2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		5955	38341	0	40424	36258	0	4166	23387	22977	0	410	57.85	63.37	NaN	9.84	18162	1234602	37871	3.07	179	0.47	184269	35698	31844	19.37	19.64	533	1.49	+	0.68727	0.97601	0.51329	0.76067	
Lewy2_5Cs_2Nov13_Samwise_13-07-28	5Cs	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	True	1	2		Standard		6135	37503	0	39585	35421	0	4164	21815	21429	0	386	55.11	60.5	NaN	9.27	16788	1197704	36929	3.08	233	0.63	176849	34782	30829	19.67	19.94	594	1.71	+	0.69008	0.979	0.51321	0.75657	
