protein	p-value	q-value	adj. p-value	LB+NL+	LB-NL+	LB-NL-
RGS6	6.550248626224e-05	0.107576032709319	0.194083866795017	-0.138584179410901	0.105421556039385	0.0331626233715163
EIF3E	0.000158731615354131	0.130344040506923	0.235160888147145	-0.0796714316941611	0.17953735909306	-0.0998659273988984
CD59	0.000253560373234115	0.132569033326349	0.239175120677474	0.0971279846484213	-0.0486274150533578	-0.0485005695950635
ITGB8	0.000322882376884878	0.132569033326349	0.239175120677474	0.0210910562712308	0.222231660345093	-0.243322716616324
PHYHIP	0.00046439829957341	0.138010999886583	0.248993273349393	0.0736925873121536	-0.196325465616117	0.122632878303963
PSMA5	0.000791235892150689	0.138010999886583	0.248993273349393	0.0985577232179916	-0.0702434896582264	-0.0283142335597652
PADI2	0.000792559328253447	0.138010999886583	0.248993273349393	0.0918559042927046	0.115499914712875	-0.20735581900558
OXSM	0.000841908395008263	0.138010999886583	0.248993273349393	-0.000222116632368608	-0.103688120581792	0.103910237214161
CLIC4	0.000894424332869274	0.138010999886583	0.248993273349393	-0.00211181851448862	0.19655808841096	-0.194446269896471
CHDH	0.000902814498749215	0.138010999886583	0.248993273349393	0.00644483595801823	0.258517010906589	-0.264961846864607
GANAB	0.00100917539294884	0.138010999886583	0.248993273349393	-0.0630714778342862	0.0855396697486318	-0.0224681919143456
LIMS1	0.00140803158760593	0.138010999886583	0.248993273349393	0.0719492409369253	0.107716823464213	-0.179666064401138
PCDH10	0.00141800332967864	0.138010999886583	0.248993273349393	0.0523511455845887	-0.139170936353289	0.0868197907686998
C1orf95	0.00143406643951191	0.138010999886583	0.248993273349393	0.367592642592695	-0.455954615736986	0.0883619731442913
SNRNP200	0.00144758473795396	0.138010999886583	0.248993273349393	-0.154876851743064	0.24501110459347	-0.0901342528504057
GNB1	0.00146217676555776	0.138010999886583	0.248993273349393	0.0811817246689496	-0.150199708488487	0.0690179838195376
IGHV3-23	0.00154851596573929	0.138010999886583	0.248993273349393	-0.0933811485284236	0.469382855291096	-0.376001706762672
KIF5C	0.00158177309420723	0.138010999886583	0.248993273349393	0.083451129615775	-0.155410549251302	0.0719594196355274
ERLIN2	0.00160323862573248	0.138010999886583	0.248993273349393	0.0488635923928777	0.226827715222898	-0.275691307615775
SRPK2	0.00168068358656357	0.138010999886583	0.248993273349393	-0.125229264976033	-0.0246175925282314	0.149846857504264
PDCD5	0.00178571232222193	0.139652893999798	0.251955505273504	-0.0483416432889952	-0.0810826178949901	0.129424261183985
SELENBP1	0.00199628194996518	0.141991903314058	0.256175441264336	0.0455617088606581	0.234883745149176	-0.280445454009834
ACTA2	0.0020584855321785	0.141991903314058	0.256175441264336	0.739937132509515	-1.06461276311323	0.324675630603716
ANXA4	0.00214679052408668	0.141991903314058	0.256175441264336	0.112866486739369	0.104438066023658	-0.217304552763027
HNRNPK	0.00218937070300443	0.141991903314058	0.256175441264336	-0.0905283693469589	0.157455672965557	-0.0669273036185981
SLC25A20	0.00239354321619806	0.141991903314058	0.256175441264336	-0.0280065796203691	0.135559598310809	-0.107553018690439
COL4A1	0.00243802199435953	0.141991903314058	0.256175441264336	0.284458303874226	-0.00683072660752201	-0.277627577266704
WASL	0.00255403089119695	0.141991903314058	0.256175441264336	0.0621201790913941	-0.135684718249311	0.0735645391579171
PSMB5	0.00262357027251819	0.141991903314058	0.256175441264336	0.101329034445792	-0.0920375868433975	-0.00929144760239481
CA1	0.00301309780899354	0.141991903314058	0.256175441264336	0.381281099881105	-0.0091396613189239	-0.372141438562181
UPF1	0.00304996999962288	0.141991903314058	0.256175441264336	-0.133495441573476	0.0938681443967791	0.0396272971766969
S100A4	0.0030824621438335	0.141991903314058	0.256175441264336	0.329647611025634	-0.085519149981045	-0.244128461044589
ACOT8	0.00320944231873107	0.141991903314058	0.256175441264336	-0.0202491246974689	-0.150536422014237	0.170785546711706
TUSC2	0.00330129606818051	0.141991903314058	0.256175441264336	-0.0814226724626501	-0.108920158350216	0.190342830812866
NRBP1	0.00337195960465729	0.141991903314058	0.256175441264336	-0.102696611323455	0.010331507900389	0.0923651034230662
COL4A2	0.00352728349479689	0.141991903314058	0.256175441264336	0.306772503190502	-0.0449924448401383	-0.261780058350364
PFKFB2	0.00360775733649345	0.141991903314058	0.256175441264336	0.227181311511858	-0.0802344579411246	-0.146946853570733
FOLH1	0.00371535077383587	0.141991903314058	0.256175441264336	-0.219919813459599	0.384684937679625	-0.164765124220025
GJB6	0.00377713837935723	0.141991903314058	0.256175441264336	-0.17598986338485	0.317849922693909	-0.14186005930906
RPN1	0.00391075375085589	0.141991903314058	0.256175441264336	-0.0796035834709571	0.0862719745752849	-0.00666839110432779
COL6A2	0.00405389691949558	0.141991903314058	0.256175441264336	0.45467690841032	0.187949027192827	-0.642625935603147
PSMB4	0.00414323002863831	0.141991903314058	0.256175441264336	0.115940155420521	-0.0723118223116774	-0.0436283331088433
FRRS1L	0.00414541472676404	0.141991903314058	0.256175441264336	0.0176313886219169	-0.244072686627468	0.226441298005551
SERINC1	0.00415270712496274	0.141991903314058	0.256175441264336	0.026110113768467	-0.172835111203612	0.146724997435145
PARP1	0.00417483562763948	0.141991903314058	0.256175441264336	-0.0656584218467142	0.197080666002945	-0.131422244156231
BDH1	0.00425900219499996	0.141991903314058	0.256175441264336	-0.0689473964023928	-0.0976301156969853	0.166577512099378
KIF1A	0.00430557800803739	0.141991903314058	0.256175441264336	-0.0399311472689376	-0.0987935804330667	0.138724727702004
ADD2	0.00435288335140149	0.141991903314058	0.256175441264336	0.0208280811655776	-0.102935386233223	0.0821073050676452
DPYSL5	0.00445725288029957	0.141991903314058	0.256175441264336	0.10872983284591	-0.249277458434117	0.140547625588208
VAMP7	0.00460319441147831	0.141991903314058	0.256175441264336	0.109578171796545	-0.1529500030116	0.043371831215055
CHMP6	0.00462244024716699	0.141991903314058	0.256175441264336	-0.0259122750611632	-0.16093704095762	0.186849316018783
AK3	0.00472119511766176	0.141991903314058	0.256175441264336	-0.0279968640199855	0.10245965590358	-0.0744627918835942
HNRNPA1	0.00478198110205734	0.141991903314058	0.256175441264336	-0.141014028389635	0.14383355695908	-0.00281952856944513
BCLAF1	0.00482345363261204	0.141991903314058	0.256175441264336	-0.150288213000565	0.162161123821242	-0.0118729108206771
AHSA1	0.0048530102876153	0.141991903314058	0.256175441264336	-0.108183858669893	0.0907455271637564	0.0174383315061368
BPGM	0.00494282652035263	0.141991903314058	0.256175441264336	0.179421818321447	-0.0599607279328599	-0.119461090388587
SF3B1	0.00510979659175004	0.141991903314058	0.256175441264336	-0.0965843877710164	0.23324917403746	-0.136664786266444
PRUNE2	0.00513702933684924	0.141991903314058	0.256175441264336	0.0121749753627693	-0.237697124994979	0.22552214963221
PREX1	0.00518972163019433	0.141991903314058	0.256175441264336	-0.0851596324662588	0.225523869189704	-0.140364236723445
CPNE3	0.00522171666608911	0.141991903314058	0.256175441264336	-0.0045167091829066	0.152930527173554	-0.148413817990647
PPP2R2C	0.00529170239686716	0.141991903314058	0.256175441264336	-0.0481569293855138	-0.16000739382363	0.208164323209143
PKIA	0.00536040410340495	0.141991903314058	0.256175441264336	0.122584655341542	-0.233319662964978	0.110735007623435
PSIP1	0.00548585989123438	0.143008516424982	0.258009569170277	-0.194600416342976	0.306307005604163	-0.111706589261186
DPYSL4	0.00577093696387438	0.147531609146965	0.266169930760549	0.0824699200734578	-0.255557621218273	0.173087701144815
ATP1A1	0.00589026911429769	0.147531609146965	0.266169930760549	0.066167612056347	-0.1218975139921	0.0557299019357532
EIF4A3	0.00619948360288483	0.147531609146965	0.266169930760549	-0.108306049471696	0.215104520957935	-0.106798471486239
CRK	0.00622925226271464	0.147531609146965	0.266169930760549	-0.119275370305916	0.0160276517230249	0.103247718582891
