protein	contrast	estimate	pvalue
A1BG	LB+NL+ vs LB-NL+	0.0276613750860287	0.99487267714902
A2M	LB+NL+ vs LB-NL+	0.145747553076657	0.707405179466839
AAK1	LB+NL+ vs LB-NL+	-0.098225725002043	0.429294905895333
AAMDC	LB+NL+ vs LB-NL+	0.0306036745213754	0.965116830254269
AARS	LB+NL+ vs LB-NL+	-0.125152625638361	0.0876892580035716
AARS2	LB+NL+ vs LB-NL+	-0.320474912000911	0.199412249974426
AASDHPPT	LB+NL+ vs LB-NL+	-0.154953968018533	0.307141706866617
ABAT	LB+NL+ vs LB-NL+	0.0308747593624283	0.886637235542813
ABCA2	LB+NL+ vs LB-NL+	-0.301225388318864	0.0553201701601468
ABCB7	LB+NL+ vs LB-NL+	-0.121602829360729	0.55161673678892
ABCD3	LB+NL+ vs LB-NL+	-0.177221078875782	0.310617982287162
ABCE1	LB+NL+ vs LB-NL+	-0.0401012312420811	0.947589823006085
ABHD10	LB+NL+ vs LB-NL+	0.0746320005116328	0.511406168320036
ABHD11	LB+NL+ vs LB-NL+	-0.0659686961754116	0.710486303553469
ABHD12	LB+NL+ vs LB-NL+	-0.0753827203618517	0.503323534617189
ABHD14B	LB+NL+ vs LB-NL+	-0.0976014543948881	0.802382249159916
ABHD16A	LB+NL+ vs LB-NL+	0.0923355668844252	0.660999968838831
ABHD17B	LB+NL+ vs LB-NL+	-0.0444619597973221	0.979030219069838
ABI1	LB+NL+ vs LB-NL+	0.139851225821367	0.462891985826849
ABI2	LB+NL+ vs LB-NL+	0.266218954688104	0.0480274537206596
ABLIM1	LB+NL+ vs LB-NL+	-0.0616715217976898	0.831245733134454
ABLIM2	LB+NL+ vs LB-NL+	-0.0154085356271428	0.990327385752523
ABR	LB+NL+ vs LB-NL+	0.00488048399264374	0.998204052980411
ABRACL	LB+NL+ vs LB-NL+	0.214607977448394	0.207248551794058
ACAA1	LB+NL+ vs LB-NL+	-0.101140824616128	0.156450650751902
ACAA2	LB+NL+ vs LB-NL+	-0.125491525019038	0.192933707744446
ACAD8	LB+NL+ vs LB-NL+	0.0599917691706873	0.825146810740167
ACAD9	LB+NL+ vs LB-NL+	0.00487781209685684	0.998639444404517
ACADM	LB+NL+ vs LB-NL+	0.00429524873301	0.999263848647397
ACADS	LB+NL+ vs LB-NL+	-0.0260926216059722	0.994714012597672
ACADSB	LB+NL+ vs LB-NL+	-0.0967294357518986	0.515507922865469
ACADVL	LB+NL+ vs LB-NL+	-0.042602267241363	0.784004759925427
ACAN	LB+NL+ vs LB-NL+	-0.175109227899069	0.648482832647075
ACAP1	LB+NL+ vs LB-NL+	0.0826640564242273	0.478033804264702
ACAP2	LB+NL+ vs LB-NL+	0.0180427989394441	0.981697123710134
ACAT1	LB+NL+ vs LB-NL+	0.0175345808282697	0.973434039131002
