ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	geneID	Count	Contrast	Ontology	Direction
GO:0006397	mRNA processing	22/102	67/2798	1.6482828936992e-16	1.94220773973095e-14	ADAR/CPSF7/DDX39B/EIF4A3/FUS/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/PCBP1/PSIP1/PTBP1/SF3B1/SNRNP200/SNRPD3/SRSF7/TARDBP	22	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	20/102	53/2798	1.96841375457963e-16	1.94220773973095e-14	CPSF7/DDX39B/EIF4A3/FUS/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/PCBP1/PSIP1/PTBP1/SF3B1/SNRNP200/SNRPD3/SRSF7	20	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0000398	mRNA splicing, via spliceosome	20/102	53/2798	1.96841375457963e-16	1.94220773973095e-14	CPSF7/DDX39B/EIF4A3/FUS/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/PCBP1/PSIP1/PTBP1/SF3B1/SNRNP200/SNRPD3/SRSF7	20	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0008380	RNA splicing	22/102	68/2798	2.36854602406214e-16	1.94220773973095e-14	CPSF7/DDX39B/EIF4A3/FUS/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/PCBP1/PSIP1/PTBP1/RTCB/SF3B1/SNRNP200/SNRPD3/SRSF7/TARDBP	22	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0000375	RNA splicing, via transesterification reactions	20/102	54/2798	3.03761564181657e-16	1.99267586103167e-14	CPSF7/DDX39B/EIF4A3/FUS/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/PCBP1/PSIP1/PTBP1/SF3B1/SNRNP200/SNRPD3/SRSF7	20	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0016071	mRNA metabolic process	24/102	148/2798	1.52410635518718e-10	8.33178140835660e-09	ADAR/CPSF7/DDX39B/EIF3E/EIF4A3/FUS/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/PCBP1/PSIP1/PTBP1/RPL23/SF3B1/SNRNP200/SNRPD3/SRSF7/TARDBP	24	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0006396	RNA processing	25/102	163/2798	2.04694798580412e-10	9.59141341919647e-09	ADAR/CPSF7/DDX39B/EIF4A3/FUS/HNRNPA1/HNRNPA2B1/HNRNPA3/HNRNPC/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/PA2G4/PCBP1/PSIP1/PTBP1/RPL23/RTCB/SF3B1/SNRNP200/SNRPD3/SRSF7/TARDBP	25	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0010629	negative regulation of gene expression	20/102	166/2798	1.12841525499093e-06	4.15909003949512e-05	ADAR/BCLAF1/EIF3E/EIF4A3/GLG1/HNRNPA2B1/HNRNPK/HNRNPR/ITGB8/LIMS1/NUP85/PA2G4/PARP1/PC/PTBP1/SNX6/SRP9/SRSF7/TARDBP/XRCC6	20	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0006369	termination of RNA polymerase II transcription	5/102	7/2798	1.15828251833943e-06	4.15909003949512e-05	CPSF7/DDX39B/EIF4A3/SNRPD3/SRSF7	5	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
GO:0010556	regulation of macromolecule biosynthetic process	35/102	433/2798	1.26801525594363e-06	4.15909003949512e-05	ADAR/ANXA3/APEX1/BCLAF1/CD81/CHP1/DDX39B/EIF3E/EIF4A3/ERC1/ERLIN2/FUS/HNRNPA1/HNRNPA2B1/HNRNPAB/HNRNPC/HNRNPDL/HNRNPK/HNRNPR/HNRNPU/ILF2/LIMS1/MYO6/NPM1/NUP85/PA2G4/PARP1/PCBP1/PSIP1/RAP1A/SNX6/SRP9/TARDBP/TFAM/XRCC6	35	LB-NL+ vs (LB+NL+ and LB-NL-)	BP	up
