Contrast	Direction	Ontology	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust
LB+NL+ vs LB-NL+	up	BP	GO:0034314	Arp2/3 complex-mediated actin nucleation	8/96	19/2798	7.94756546686472e-08	4.2122096974383e-05
		CC	GO:0015629	actin cytoskeleton	16/97	166/2872	9.82381246547496e-05	0.00815376434634422
		MF	GO:0008092	cytoskeletal protein binding	26/94	313/2745	8.36561890516188e-06	0.000485205896499389
	down	BP	GO:0006397	mRNA processing	22/82	67/2798	9.6486146835164e-19	2.44109951492965e-16
		CC	GO:0071013	catalytic step 2 spliceosome	12/84	25/2872	6.73446778690942e-13	3.77130196066927e-11
		MF	GO:0044822	poly(A) RNA binding	44/80	370/2745	3.84022771735965e-19	1.65129791846465e-17
LB+NL+ vs LB-NL-	up	BP	GO:0030198	extracellular matrix organization	11/51	82/2798	1.27846192026407e-07	1.41909273149312e-05
		CC	GO:0005604	basement membrane	8/51	25/2872	4.81957086259315e-09	1.30128413290015e-07
		MF	GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	5/50	20/2745	2.06472791967342e-05	0.000454240142328152
	down	BP	GO:1903829	positive regulation of cellular protein localization	5/35	92/2798	0.00512304775785212	0.278917059464964
		CC	GO:0044432	endoplasmic reticulum part	7/37	250/2872	0.0371747023765408	0.332306836307581
		MF	GO:0044877	macromolecular complex binding	7/36	293/2745	0.0817692535080046	0.425166729469731
LB-NL+ vs LB-NL-	up	BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	13/102	53/2798	2.3349935782585e-08	4.44541407995971e-06
		CC	GO:0071013	catalytic step 2 spliceosome	8/103	25/2872	1.36038671861572e-06	9.65874570217161e-05
		MF	GO:0003723	RNA binding	33/103	443/2745	3.45021803408297e-05	0.00210463300079061
	down	BP	GO:0023061	signal release	20/125	133/2798	8.84072316035167e-07	0.000503921220140045
		CC	GO:0045202	synapse	32/127	262/2872	3.72193205689335e-08	4.01968662144481e-06
		MF	GO:0030695	GTPase regulator activity	11/119	82/2745	0.000655363075966225	0.0261961713301913
LB+NL+ vs (LB-NL+ and LB-NL-)	up	BP	GO:0030198	extracellular matrix organization	10/48	82/2798	7.09970295274644e-07	8.16465839565841e-05
		CC	GO:0044420	extracellular matrix component	8/48	34/2872	4.35230407071306e-08	1.26216818050679e-06
		MF	GO:0005198	structural molecule activity	9/48	236/2745	0.0188246368742442	0.357668100610639
	down	BP	GO:0016071	mRNA metabolic process	12/52	148/2798	1.01308046984141e-05	0.00136765863428591
		CC	GO:0005654	nucleoplasm	17/52	480/2872	0.00330972974920179	0.0511757184478782
		MF	GO:0044822	poly(A) RNA binding	22/51	370/2745	1.45359622699927e-07	2.18039434049891e-06
LB-NL+ vs (LB+NL+ and LB-NL-)	up	BP	GO:0006397	mRNA processing	22/102	67/2798	1.6482828936992e-16	1.94220773973095e-14
		CC	GO:0005681	spliceosomal complex	14/105	36/2872	6.20513001368479e-12	4.09074120797053e-10
		MF	GO:0044822	poly(A) RNA binding	42/103	370/2745	2.00657444618169e-12	1.20394466770901e-10
	down	BP	GO:0034314	Arp2/3 complex-mediated actin nucleation	11/174	19/2798	1.93269228501853e-09	1.4282595986287e-06
		CC	GO:0045202	synapse	46/176	262/2872	5.78498773936363e-12	8.21468258989635e-10
		MF	GO:0017075	syntaxin-1 binding	6/168	11/2745	1.72038361956706e-05	0.0010886472336858
LB-NL- vs (LB+NL+ and LB-NL+)	up	BP	GO:0044255	cellular lipid metabolic process	11/44	241/2798	0.000908391595702551	0.0817552436132296
		CC	GO:0005783	endoplasmic reticulum	12/44	368/2872	0.00738038457442692	0.0606452074934339
		MF	GO:0030695	GTPase regulator activity	7/41	82/2745	0.000162214451707477	0.00216363530306669
	down	BP	GO:0030198	extracellular matrix organization	12/78	82/2798	1.61396596799751e-06	0.000244515844151623
		CC	GO:0005604	basement membrane	5/79	25/2872	0.000478401111053838	0.0161054695763307
		MF	GO:0016491	oxidoreductase activity	14/78	259/2745	0.0126039095575529	0.190618347569011
